25642:如果\从\另\一\角度\来\看\,\这\件\事\就\显得\很\可笑\.\

25846:三\度\空间\的\物体\有\长\,\宽\,\高\三\个\度量\.\
#A three-dimensional object has length,depth,and height.
3瞒盔 傍埃狼 拱眉绰 辨捞, 呈厚, 臭捞狼 技 啊瘤 么档啊 乐促.

25847:三\分\之一\的\叁\议员\每\两\年\改选\一次\.\
#One third of the senators are elected every two years.
曼狼盔狼 3盒狼 1篮 2斥付促 蛮 瞒肥 急芭茄促.

25848:三\个人\受\了\重伤\,\更\不必\说\房子\的\损坏\了\.\
#Three people were badly hurt,to say nothing of the damage to the building.
技 荤恩捞 吝惑阑 涝菌栏聪, 笼狼 颇颊篮 富且 鞘夸档 绝促.

25849:三月\上旬\,\这\是\我们\能够\答应\的\最早\日期\.\
#The earliest shipment we can make is early March.
3岿 惑鉴, 捞巴捞 快府啊 措翠且 荐 乐绰 啊厘 捞弗 朝楼捞促.

25850:色调\明快\的\油漆\确实\使\这\房间\生\色\不少\.\
#The bright paint really makes the room.
灌篮 祸炼狼 其牢飘啊 犬角洒 捞 规阑 歹宽 蝴唱霸 茄促.

25851:莎\士\比\亚\的\才华\胜\过\所有\的\其他\英国\诗人\.\
#The genius of Shakespeare transcends that of all other English poets.
技劳胶乔绢狼 犁瓷篮 葛电 促弗 康惫 矫牢甸阑 瓷啊茄促.

25852:莎\士\比\亚\的\剧本\是\用\无\韵\诗\体\写\的\.\
#Shakespeare's plays are written in blank verse.
技劳胶乔绢狼 必夯篮 公款矫眉肺 敬 巴捞促.

25853:莎\士\比\亚\对\我\而言\是\个\陌生\的\领域\.\
#Shakespeare is unknown country to me.
技劳胶乔绢绰 唱肺辑绰 掣急 盒具捞促.

25854:莎\士\比\亚\生\於\1\5\6\4\年\而\卒\于\1\6\1\6\年\.\
#Shakespeare's dates are 1564 to 1616.
技劳胶乔绢绰 1594斥俊 怕绢唱辑 1616斥俊 累绊沁促.

25855:莎\士\比\亚\为\伊\利\莎\白\王朝\的\戏剧\增添\光彩\.\
#Shakespeare illuminated Elizabethan drama.
技劳胶乔绢狼 郡府磊海胶 空炼甫 困茄 锐必篮 堡盲甫 歹沁促.

25856:沙\漏\中\的\沙\粒\即将\漏\尽\;\寿命\将\尽\,\馀\时\不\多\.\
#The sands are running out.
葛贰 矫拌 救狼 葛贰舅捞 梆 促 冻绢柳促.; 荐疙捞 促窍妨绊 窍促; 巢篮 矫埃捞 腹瘤 臼促.

25857:伤口\并不\严重\,\但\可能\会\引起\一些\不\舒适\.\
#The wound isn't serious,but may cause some discomfort.
惑贸绰 弊促瘤 缴阿窍瘤 臼瘤父, 粱 阂戚窃阑 具扁且 荐档 乐促.

25858:商店\的\营业\时间\是\从\上午\八\点\到\下午\五\点\.\
#The shop is open from eight till five o'clock.
惑痢狼 康诀 矫埃篮 坷傈 8矫俊辑 坷饶 5矫鳖瘤捞促.

25859:商人\千万\不\能\让\顾客\有\不\满意\的\感觉\.\
#A businessman must avoid leaving his customers unaccommodated.
惑牢篮 例措肺 绊按栏肺 窍咯陛 阂父练胶矾款 蠢肠阑 啊瘤霸 秦辑绰 救等促.

25860:上\半场\英国\队\以\十\五\比\零\领先\法国\队\.\
#England were leading France 15-0 at half time.
傈馆傈篮 康惫 评捞 15措 0栏肺 橇尔胶 评阑 府靛沁促.

25861:上次\大选\你\是否\投\了\撒\切\尔\夫人\的\票\?\
#Did you vote for Mrs Thatcher in the last election?
磊抄锅 措急俊辑 呈绰 措贸 何牢俊霸 钎甫 带脸蠢衬?

25862:上帝\的\意旨\是\要\我们\快乐\地利\一起\.\
#God wills we be happy together.
窍蠢丛狼 舵篮 快府甫 窃膊 青汗窍霸 窍绰 巴捞促.

25863:上帝\祝福\第\七\天\并且\使\它\成为\神圣\的\日子\.\
#God blessed the seventh day and sanctified it.
窍蠢丛篮 老蚌 锅掳 朝阑 绵汗窍继阑 挥父 酒聪扼 弊巴阑 脚己茄 朝肺 伙栏继促.

25864:上\个\月\,\我们的\周薪\都\增加\了\六\镑\.\
#We all got a ￡6-a-week rise last month.
瘤抄 崔, 快府狼 林鞭篮 葛滴 6颇款靛 刘啊沁促.

25865:上\工艺\美术\课时\,\班级\分成\若干\小组\.\
#For art and craft lessons the class is split up into small groups.
傍抗 固贱 苞格 荐诀阑 且 锭, 馆篮 割割 家炼肺 唱穿菌促.

25866:上\讲台\以前\他\先\于\自己\镇定\下来\.\
#He collected himself before getting up onto the platform.
碍窜俊 坷福扁 傈俊 弊绰 刚历 磊脚阑 救沥矫淖促.

25867:上\开\金额\,\我们\将\以\邮局\汇票\寄\送\.\
#We will send you the amount by postal order.
惑扁狼 陛咀篮 快府啊 快眉惫 价陛栏肺 何磨 巴捞促.

25868:上述\报\价\均\为\每\吨\C\I\F\哥\本\哈\根\净价\.\
#The above-quoted prices are all on the basis of CIF Copenhagen net per metric ton.
惑贱茄 力矫 啊拜篮 葛滴 沛 寸 CIF内奇窍罢 鉴荐 盔啊涝聪促.

25869:上述\定购\货物\已\备\齐\,\请\早日\指示\,\如何\发\运\.\
#The above order is now ready.Please give us forwarding instructions as soon as possible.
惑贱茄 拱前 林巩篮 捞固 霖厚啊 促 登菌栏聪, 炼加洒 绢痘霸 惯价且 瘤甫 瘤矫秦 林绞矫坷.

25870:上述\观点\是\在\调查\的\基础\上\得出\的\.\
#The views set out above are based on investigations.
惑贱茄 包痢篮 炼荤狼 扁檬俊辑 掘篮 巴涝聪促.

25871:上台\前\的\最后\几\分钟\常常\使\新\演员\紧张\得\很\.\
#The last few minutes before going on stage always screw new actors up.
公措俊 坷福扁 傈 付瘤阜 割 盒篮 亲惑 脚牢 楷扁磊甸阑 概快 变厘窍霸 茄促.

25872:上午\的\大部\份\时间\,\他们\让\她\闲\着\无\事\.\
#They left her unengaged a good part of the morning.
坷傈狼 措何盒 矫埃阑 弊甸阑 弊赤甫 酒公 老 绝捞 浆霸 沁促.

25873:上午\十\一点\零\九\分\各\突击\连\开始\进攻\了\.\
#At 11.09 a.m.the assault companies jumped off.
坷傈 11矫 9盒 阿 倒拜 吝措绰 傍拜窍扁 矫累沁促.

25874:上学\时\,\我\沿着\伦敦\大道\走\半\哩\路\.\
#When I go to school,I go along the London Road for half a mile.
切背俊 哎 锭, 唱绰 繁带 措背甫 蝶扼辑 馆 付老阑 叭绰促.

25875:上\一次\看到\他\时\,\他\看起来\很\幸福\的\样子\.\
#He looked very happy last time I saw him.
瘤抄 锅 弊甫 焊疽阑 锭, 弊绰 概快 青汗秦 焊看促.

25876:上涨\的\生活费\用\已经\抵销\了\我们\增加\的\工资\.\
#Higher living costs have swallowed up our pay rise.
坷弗 积劝厚啊 捞固 快府狼 刘啊茄 烙陛阑 惑尖沁促.

25877:上\周日\反对\统一\者\反对\现有\的\界线\.\
#Last Sunday the divisionists objectd to the existing boundary line.
瘤抄 林 老夸老俊 烹老 馆措磊甸篮 泅犁狼 版拌急阑 馆措沁促.

25878:少数\赛跑\的\人\跑\到\终点\时\筋疲力尽\了\.\
#A few runners pegged out at the end of the course.
割割 林磊甸篮 辆痢鳖瘤 崔妨吭阑 锭 扁柳钙柳沁促.

25879:哨兵\喝道\:\"\走开\,\不然\我\要\开枪\了\.\"\
#The sentry shouted,"Stand off,or I will shoot."
焊檬捍篮 家府闷促. " 厚难扼, 弊犯瘤 臼栏搁 唱绰 津 巴捞促."

25880:摄影\爱好\不\好的\地方\在于\它\花费\太\大\了\.\
#The trouble with photography is that it's an expensive hobby.
荤柳 秒固啊 亮瘤 臼篮 痢篮 弊巴捞 呈公 捣阑 腹捞 敬促绰 单 乐促.

25881:摄影\机\的\镜头\迅速\移\近\拍摄\这个\孩子\.\
#The camera zoomed in on the child.
墨皋扼狼 坊令啊 犁狐福霸 啊鳖捞 捞悼秦辑 捞 酒捞甫 迷康沁促.
 
25882:摄影\机\向\男\主角\移\近\,\准备\拍\一\组\特\写\镜头\.\
#The camera moved in on the hero for a close-up sequence.
墨皋扼绰 巢磊 林牢傍俊霸 啊鳖捞 捞悼秦辑 努肺瘤诀 厘搁阑 嘛阑 霖厚甫 沁促.

25883:社会主义\必将\在\全\世界\战胜\资本主义\.\
#Socialism will certainly prevail against capitalism the world over.
荤雀林狼绰 馆靛矫 傈技拌俊辑 磊夯林狼甫 捞辨 巴捞促.

25884:设法\解释\得\简单\些\,\好\让\孩子们\听\得\懂\.\
#Try to simplify your explanation for the children.
酒捞甸捞 舅酒甸阑 荐 乐霸 粱 埃窜洒 汲疙窍档废 畴仿秦扼.

25885:设法\于\那\辆\车子\保持\在\视线\之内\.\
#Try to keep that car in view.
弊 瞒甫 矫急 郴俊 蜡瘤且 荐 乐档废 秦扼.

25886:设计\这\台\机器\的\老\工人\现在\在\我们\学院\学习\.\
#The old worker who designed the machine is now studying in our institute.
捞 扁拌甫 汲拌茄 唱捞电 畴悼磊啊 瘤陛 快府 切背俊辑 傍何茄促.

25887:申请\安装\电话\者\的\名单\有\长长的\一\列\.\
#There's a long waiting list of people who want telephones.
傈拳 汲摹甫 脚没茄 荤恩狼 疙窜捞 酒林 辨霸 临阑 辑 乐促.

25888:申请\入党\的\人\,\必须\个别\履行\入党\手续\.\
#Applicants for Party membership must go through the procedure for admission individually.
涝寸 脚没阑 茄 荤恩篮 馆靛矫 俺喊利栏肺 涝寸 荐加阑 捞青秦具 茄促.

25889:深\红\的\枫叶\和\暗\绿\的\松树\形成\了\明显\的\对比\.\
#The scarlet leaves of the maples contrast well with the dark green of the pines.
拢篮 河篮 祸狼 窜浅蕾苞 鞠废祸狼 家唱公啊 堆非茄 措厚甫 捞风菌促.

25890:深夜\,\王\大伯\的\胃病\又\突然\发作\了\.\
#Late at night,Uncle Wang's stomach trouble flared up again.
缴具俊, 空酒历揪狼 困捍捞 肚 癌磊扁 惯累沁促.

25891:神\的\名字\往往\表示\他们的\特殊\权力\.\
#Names of deities are often significatory of their special powers.
脚狼 捞抚篮 空空 弊甸狼 漂荐 鼻仿阑 钎矫茄促.

25892:神志\正常\的\人\是\不会\买\那\辆\旧\车\的\.\
#No one in their right mind would buy that old car.
沥脚捞 沥惑牢 荤恩篮 弊 嘲篮 瞒甫 混 府啊 绝促.

25893:审查\后\把\书\中\内容\黄色\下流\的\段落\删去\
#censor out risque passages in the book
缴荤 饶 氓 加 郴侩狼 急沥利捞绊 历鞭茄 窜遏阑 昏力窍促.

25894:甚至\当\她\开始\哭泣\时\,\他\还是\无\动\於\衷\.\
#He remained unmoved even when she began to cry.
缴瘤绢 弊赤啊 匡扁 矫累沁阑 锭俊档, 弊绰 咯傈洒 付澜捞 傈囚 框流捞瘤 臼疽促.

25895:甚至\在\都市\的\四周\仍\有\许多\乡村\地区\.\
#There are rural pockets even around the city.
缴瘤绢 档矫狼 林函俊辑档 咯傈洒 酒林 腹篮 矫榜 瘤备啊 乐促.

25896:声音\藉\由\分子\的\震动\从\某\一点\传\到\另\一点\.\
#Sound is conveyed from one point to another by the motion of molecules.
家府绰 盒磊狼 柳悼捞 绢蠢 茄 瘤痢俊辑 促弗 茄 瘤痢栏肺 傈崔登绰 巴捞促.

25897:声音\通过\液体\或\固体\时\,\就\转变\为\热\.\
#Passing through a liquid or a solid,sound is changed into heat.
家府绰 咀眉唱 绊眉甫 烹苞且 锭, 凯肺 函茄促.

25898:生产大队\拨出\一\大笔\款项\来\重建\这\座\桥\.\
#The production brigade put up a large sum of money for the rebuilding of the bridge.
积魂措绰 芭咀狼 捣阑 瘤免窍咯 捞 促府甫 犁扒茄促.

25899:生产队\的\鸭子\已\养\肥\到\可以\上市\了\.\
#The ducks of the production team have been fed out.
积魂措狼 坷府绰 捞固 矫厘俊 郴初阑 荐 乐阑 沥档肺 混骂霸 辨矾脸促.

25900:生活费\用\的\上涨\严重\地\影响\我们的\家庭\经济\.\
#The increased cost of living hits our domestic economy.
积劝厚狼 坷抚篮 快府狼 啊沥 版力俊 缴阿窍霸 康氢阑 尝模促.

25901:生活\在\城市\与\生活\在\乡村\有\许多\不同\之\处\.\
#There are many differences between living in a city and living in the country.
档矫俊辑 积劝窍绰 巴苞 矫榜俊辑 积劝窍绰 巴篮 酒林 腹篮 瞒捞痢捞 乐促.

25902:绳子\牢\度\不够\,\所以\我们\用\了\铁丝\.\
#The string wasn't strong enough,so we used wire.
肺橇狼 被扁啊 何练秦辑 快府绰 枚荤甫 荤侩沁促.

25903:绳子\也许\会\断\,\但\我\不得不\冒\这个\险\.\
#The rope might break but that's a chance I'll have to take.
肺橇绰 酒付档 谗绢龙 巴捞促. 弊矾唱 唱绰 绢驴 荐 绝捞 捞 困氰阑 公辅结具 茄促.

25904:剩下\的\都\是\硬\巧克力\,\软\的\都\给\我们\吃光\了\.\
#There are only hard chocolates left; we've eaten all the soft ones.
巢篮 巴篮 葛滴 迭迭茄 檬内房捞促. 何靛矾款 巴篮 促 弊甸捞 冈绢摹奎促.

25905:圣诞节\是\基督教\的\一\个\欢乐\的\节日\.\
#Christmas is one of the festivals of the Christian church.
己藕例篮 扁刀背狼 榴芭款 疙例捞促.

25906:圣诞节\收到\您\的\来信\,\真是\太\好了\!\
#It was so nice to hear from you at Christmas.
己藕例俊 寸脚狼 祈瘤甫 罐霸 登绢, 沥富肺 呈公 亮嚼聪促.

25907:圣诞节\转眼\又\到\,\又\该\迎\来\新\的\一\年\了\.\
#It seems that Christmas time is here once again,and it's time again to bring in the new year.
己藕例捞 绢蠢怠 促矫 吭栏聪, 肚 货肺款 茄 秦甫 嘎捞秦具 且 锭捞促.

25908:圣\玛\利\教堂\是\每\一\位\伦敦\市民\心爱\的\地方\.\
#Bow Church is dear to the heart of every Londoner.
己 付府 背雀绰 葛电 繁带 矫刮捞 柳缴栏肺 酒尝绰 镑捞促.

25909:圣\徒\克\里\斯\托\弗\是\旅行\者\的\守\护\神\.\
#Saint Christopher is the patron saint of travellers.
己 农府胶配欺绰 咯青磊狼 荐龋脚捞促.

25910:失败\的\阶级\想要\恢复\它们\失去\的\天堂\.\
#The defeated classes wanted to bring back their lost paradise.
角菩茄 拌鞭篮 弊甸捞 酪绢滚赴 玫寸阑 雀汗窍妨绊 茄促.

25911:失败\的\消息\对\我们\来说\真是\个\晴天\霹雳\.\
#The news of the defeat was a bombshell to us.
角菩狼 家侥篮 快府甸俊霸 乐绢辑绰 沥富肺 没玫寒仿捞促.

25912:失\落\的\包\在\河\里\找到\,\可\里面\已\空空如也\.\
#The missing bag turned up,completely empty,in the river.
酪绢滚赴 啊规篮 碍 加俊辑 茫疽瘤父, 救俊绰 捞固 胖胖 厚菌促.

25913:失去\一些\电子\的\电容器\板\就\会\带\正电\.\
#The plate of the capacitor having lost some electrons will be positively charged.
割割 傈磊甫 酪绢滚赴 绵傈扁 敲饭捞飘绰 剧傈扁甫 额 荐 乐促.

25914:失事\船只\的\幸存者\都\已\被\及时\救\起来\了\.\
#All the survivors of the shipwreck were picked up in time.
荤绊抄 急冠狼 积粮啊绰 葛滴 捞固 溜矫 备炼登菌促.

25915:诗\表示\内在\经验\兴\社会\现实\的\相互\关系\.\
#Poetry correlates inner experience and social reality.
矫绰 郴犁等 版氰苞 荤雀 泅角狼 惑龋 包拌甫 唱鸥辰促.

25916:诗\绝对\无法\用\另\一\种\语言\贴切\地\译\⒂\⒂\出来\.\
#Poetry can never be adequately rendered in another language.
矫绰 例措肺 促弗 攫绢肺 怖 嘎霸 锅开秦 尘 荐 绝促.

25917:诗人\表达\了\他\对\所\爱\的\女人\的\火\一般\的\激情\.\
#The poet expressed his burning passion for the woman he loved.
矫牢篮 弊啊 荤尔窍绰 咯牢俊 措茄 阂 鞍篮 拜沥阑 钎泅沁促.

25918:诗人\们\赞颂\国王\,\歌颂\他的\英勇\业绩\.\
#Poets sang the king's praises; they sang of his brave deeds.
矫牢甸篮 惫空阑 蛮剧窍绊, 弊狼 侩皑茄 诀利阑 蛮价茄促.

25919:尸体\被\发现\时\已过\砍\得\血肉\模糊\.\
#The body was found horribly mangled.
矫眉啊 惯斑登菌阑 锭绰 捞固 趋腊阑 备喊且 荐 绝阑 沥档肺 妊颊登绢 乐菌促.

25920:十\点钟\前\一定\要\回来\,\否则\你\将\被\关\在\门\外\.\
#Be back before ten,or you'll be locked out.
10矫 傈俊绰 馆靛矫 倒酒客具 茄促. 弊犯瘤 臼栏搁 呈绰 巩 观俊辑 甸绢坷瘤 给且 巴捞促.

25921:十\二\期\<\中国\建设\>\已经\合\订\成\一\厚\册\.\
#The twelve issues of China Reconstructs have been bound up into a thick volume.
12扁狼 <吝惫扒汲>篮 捞固 窍唱狼 滴波款 氓栏肺 钦夯登菌促.

25922:十二月\二\日\母\艇\正在\威\克\岛\附近\巡航\.\
#The mother sub was cruising near Wake Island on December 2.
12岿 2老 葛急篮 傀捞农 级 何辟俊辑 鉴亲窍绊 乐菌促.

25923:十二月份\的\天气\是\惨淡\而\令人\难受\的\.\
#The weather in December was bleak and unpleasant.
12岿狼 朝揪绰 曼淬秦辑 斑掉 荐 绝促.

25924:十分\高兴\获\悉\你\得到\了\尼\尔\逊\奖学金\.\
#I'm so glad to hear of your scholarship to Nelson.
寸脚捞 弛郊 厘切陛阑 罐霸 登菌促聪 措窜洒 扁晦聪促.

25925:十\九\世纪\中\,\英国\的\工业\移\向\北方\.\
#In the 19th century industry gravitated towards the north of England.
19技扁 吝俊, 康焙狼 傍诀篮 合规栏肺 捞悼沁促.

25926:十\之\八\九\她的\马\会\在\这\次\比赛\中\得胜\.\
#The odds are 10 to 1 that her horse will win the race.
绞吝迫备 弊赤狼 富篮 捞锅 矫钦俊辑 铰府且 巴捞促.

25927:石灰石\在\风吹雨打\之下\慢慢\地\销蚀\了\.\
#Limestone slowly frets away under pounding by the wind and rain.
籍雀籍篮 厚官恩 加俊辑 玫玫洒 何侥窍绊 乐促.

25928:石油\的\发现\将会\使\这个\国家\富\起来\.\
#The discovery of oil will enrich the nation.
籍蜡狼 惯斑篮 捞 惫甫 何蜡窍霸 且 巴捞促.

25929:石油\短缺\使\世界市场\上\的\化肥\价格\上涨\.\
#The oil shortage drove up the prices of chemical fertilizers on the world market.
籍蜡 搬翘篮 技拌 矫厘狼 拳切 厚丰 啊拜阑 坷福霸 沁促.

25930:时间\一\年\一\年\地\过去\,\而\他\还\没\回来\.\
#One year ran into the next,and still he did not return.
矫埃捞 茄 秦 茄 秦 瘤唱啊瘤父, 弊绰 咯傈洒 倒酒坷瘤 臼疽促.

25931:什么地方\可以\接通\电视\?\这个\插销\好用\吗\?\
#Where can I plug in the TV? Is this outlet all right?
绢叼俊辑 炮饭厚怜阑 楷搬且 荐 乐嚼聪鳖? 捞 敲矾弊绰 镜 荐 乐嚼聪鳖?

25932:什么\都\不\能\减轻\我们\对\死亡\的\恐惧\.\
#Nothing can cushion us against the fear of death.
绢蠢 巴档 快府狼 磷澜俊 措茄 傍器甫 距拳矫懦 荐 绝促.

25933:什么时候\或者\是\谁\首先\想到\的\还\不\知道\.\
#When or to whom it first occured is not known.
攫力 肚绰 穿啊 刚历 积阿秦 辰 巴牢瘤 咯傈洒 舅瘤 给茄促.

25934:什么时候\是\我们\可\盼\的\最早\的\发货\期\?\
#When is the earliest we can expect shipment?
攫力啊 快府啊 扁措且 荐 乐绰 啊厘 捞弗 惯价 矫扁涝聪鳖?

25935:什么\也\不要\瞒\我\,\你\必须\把\一切\情况\告诉\我\.\
#Don't hold anything back,you must tell me everything.
绢恫 巴档 唱甫 加咯辑绰 救等促. 呈绰 葛电 惑炔阑 唱俊霸 舅妨林绢具 茄促.

25936:什么\也\改变\不了\他\,\他\始终\是\那个\样子\.\
#Nothing will change him,he will always be the same.
绢恫 巴档 弊甫 函拳矫懦 荐 绝促. 弊绰 矫辆 弊繁 葛嚼捞促.

25937:什么\都\比\不\看\睡着\的\小孩\更\令人\心动\的\了\.\
#There is nothing like a sleeping child to stir affection in the beholder.
绢恫 巴档 泪磊绊 乐绰 酒捞焊促 歹 荤恩狼 付澜阑 框流捞霸 窍绰 巴篮 绝促.

25938:什么\也\无法\动摇\我\队\会\获胜\的\信念\.\
#Nothing can shake our assurance that our team will win the game.
绢恫 巴档 快府 评捞 铰府且 巴捞扼绰 脚充阑 悼夸且 荐 绝促.

25939:食盐\在\显微镜\下\看起来\好象\是\无数\小\正方\体\.\
#Viewed through a microscope table salt appears as mass of tiny cubes.
侥堪篮 泅固版 窍俊辑 焊搁 付摹 公荐茄 累篮 沥规眉牢 巴 鞍促.

25940:实\不\相\瞒\,\一直\没\回信\的\原因\是\,\我\情绪\低落\.\
#To be honest,I haven't written because I have been so depressed.
贾流洒 富秦辑, 临梆 雀脚捞 绝菌带 盔牢篮 唱狼 扁盒捞 啊扼旧酒辑看促.

25941:实际\的\修理\费用\比\我们\预期\的\要\低\得\多\.\
#The actual cost of repairs was a lot less than we had expected.
角力 荐府 厚侩篮 快府啊 抗惑沁带 巴焊促 任纠 撤疽促.

25942:实际\上\绝缘\体\也\导电\,\但\电阻\很\高\.\
#Insulators in reality conduct electricity but their resistance is very high.
角力肺 涟楷眉档 傈扁啊 烹窍瘤父, 历亲捞 概快 臭促.

25943:实况\转播\是\播音\员\在\比赛\现场\所\作\的\报道\.\
#A running commentary is an account of a sports event given by a broadcaster while it is actually happening.
角炔 吝拌绰 酒唱款辑啊 矫钦 泅厘俊辑 窍绰 焊档捞促.

25944:实验\就是\给\问题\找\出\解答\的\一\种\办法\.\
#An experiment is a method of finding the answer to a problem.
角氰篮 官肺 巩力俊 秦翠阑 茫酒郴 林绰 老辆狼 规过捞促.

25945:实验\每\重复\一次\就\能\看到\运动\的\这\种\循环\.\
#This cycle of movement can be observed every time the experiment is repeated.
角氰捞 概锅 茄 瞒肥究 吝汗登搁 款悼狼 捞矾茄 鉴券阑 杭 荐 乐促.

25946:实验\一\做\完\,\我们\就\曾\开始\新\的\科学\研究\.\
#With the experiment carried out,we started new investigations.
角氰捞 场唱磊付磊, 快府绰 捞固 货肺款 苞切 楷备甫 矫累沁促.

25947:实验\中\确实\出现\了\一\个\象\这样\的\反应\.\
#A reaction like this did take place in the experiment.
角氰 吝俊 捞客 鞍篮 馆览捞 犬角洒 唱鸥车促.

25948:史密斯\从\银行\取出\存款\来\购买\债券\.\
#Smith drew his money out of the band and invested it in bonds.
胶固胶绰 篮青俊辑 历陛阑 牢免秦辑 盲鼻阑 备概沁促.

25949:史密斯\的\银行\在\萧条\期间\很\难\支持\下去\了\.\
#Smith's bank could hardly hold up in the depression.
胶固胶狼 篮青篮 版扁 魔眉 扁埃俊 酒林 绢菲霸 瘤攀秦艾促.

25950:史密斯\家\把\他们的\一\间\卧室\布置\成\书房\.\
#The Smiths fitted up one of their bedrooms as a study.
胶固胶匙绰 弊甸狼 魔角阑 辑犁肺 硅摹沁促.

25951:史密斯\上\周\新\开\的\店\业绩\扶摇直上\.\
#Smith's new store opened last week and it's going greatguns.
胶固胶啊 瘤抄 林俊 货肺 楷 啊霸绰 魄概 角利捞 拌加 惑铰狼 老肺甫 叭绰促.

25952:史密斯\先生\接替\琼斯\先生\担任\我们的\老师\.\
#Mr Smith succeeded Mr Jones as our teacher.
胶固胶 急积丛绰 粮 急积丛阑 牢拌秦辑 快府狼 急积丛阑 淬烙茄促.

25953:史密斯\先生\通\勤\于\纽约\和\费\城\之间\.\
#Mr.Smith commutes between New York and Philadelphia.
胶固胶揪绰 春垮苞 鞘扼胆乔酒 荤捞俊辑 烹辟茄促.

25954:史密斯\先生\无法\接受\你的\宴请\,\深\表\歉意\.\
#Mr Smith is sorry that he cannot accept your invitation to dinner.
胶固胶揪绰 寸脚狼 檬没阑 罐酒甸老 荐 绝绢辑, 表篮 荤苞甫 钎钦聪促.

25955:史\提\芬\今天早上\迟到\的\说\词\是\公车\误点\了\.\
#Steven was tardy this morning and alleges that his bus was late.
胶萍红捞 坷疵 酒魔俊 瘤阿茄 函疙篮 滚胶啊 楷馒茄 巴捞促.

25956:使\某\服用\麦角\酸\幻觉\剂\而\产生\幻觉\
#freak sb,out on LSD
穿焙啊俊霸 LSD券阿力甫 汗侩矫难辑 犬阿俊 狐瘤霸 窍促.

25957:使\你\失望\我\心里\不安\,\不过\我\实在\是\不\能\来\.\
#I'm sorry to disappoint you,but I can't come after all.
呈甫 角噶窍霸 秦辑 唱绰 付澜捞 阂救窍瘤父, 唱绰 角犁肺 棵 荐 绝促.

25958:使\商业\广告\充满\性\感\内容\以\招徕\顾客\
#sex up commercial advertisements to attract customers
惑诀 堡绊肺 窍咯陛 己利 郴侩阑 啊垫 盲况辑 绊按阑 缠绢葛栏促.

25959:使\他们\失败\的\正是\他们\自己的\反动\活动\.\
#It was their reactionary activities that brought them down.
弊甸阑 角菩窍霸 茄 巴篮 官肺 弊甸 胶胶肺狼 馆悼 劝悼捞促.

25960:使\她\父母\高兴\的\是\,\她\得了\一等\奖\.\
#To her parents' joy,she won the first prize.
弊赤狼 何葛甫 扁悔霸 茄 巴篮 弊赤啊 1殿惑阑 藕 巴捞促.

25961:使\我们\大为\欣慰\的\是\,\矿工\全部\获\救\了\.\
#To our great relief ,the miners were all saved.
快府甫 农霸 救缴矫挪 巴篮 堡何甸捞 傈何 促 备秦柳 巴捞促.

25962:使\我们\有\延误\一\,\两个\海外\合约\的\危险\.\
#We are in danger of getting into arrears with one or two of our overseas contracts.
快府肺 窍咯陛 茄 滴俺狼 秦寇 拌距阑 龙龙 缠绢 扁雀甫 初磨 困氰阑 爱霸 窍促.

25963:使用\过\热\蒸汽\时\,\混合\的\效果\就\会\减少\.\
#In using superheated steam,compounding becomes less effective.
苞凯 刘扁甫 荤侩且 锭, 去钦 瓤苞绰 皑家且 巴捞促.

25964:使用\能量\和\做功\实际\指\的\是\一回事\.\
#Using energy and doing work really mean the same thing.
俊呈瘤甫 荤侩窍绰 巴苞 老阑 窍绰 巴篮 角力肺 鞍篮 巴捞促.

25965:使\这\孩子\吃\东西\,\真\要\费\九牛二虎之力\.\
#It's a real hassle to get this child to eat.
捞 酒捞甫 公攫啊 冈霸 窍绰 巴篮 沥富肺 措窜茄 塞捞 电促.

25966:士兵\们\被\分派\住宿\於\该\村\老百姓\家\中\.\
#The soldiers were billeted on the villagers .
荤捍甸篮 捞 付阑狼 荤恩甸 笼俊辑 唱穿绢 捧槛沁促.

25967:士兵\们\必须\在\八\点\三\十分\到达\各自\的\岗位\.\
#The soldiers must be at their posts by 8:30.
荤捍甸篮 8矫 30盒俊 阿磊狼 困摹俊 檬馒秦具 茄促.

25968:士兵\们\纷纷\抱怨\说\那\位\将军\应该\被\撤职\.\
#There were rumblings in the ranks that the general should be dismissed.
荤捍甸篮 勒崔酒 弊 厘焙捞 搁流登绢具 茄促绊 阂乞窍哥 富沁促.

25969:士兵\们\还\在\断断续续\地\或\不断\地\打枪\.\
#The soldiers were still banging away.
荤捍甸篮 咯傈洒 窜加利栏肺 趣篮 何窜洒 醚阑 筋疽促.

25970:士兵\们\监视\可\通往\镇\外\的\所有\道路\.\
#The soldiers had all the roads out of town covered.
荤捍甸篮 矫寇肺 烹且 荐 乐绰 葛电 辨阑 皑矫沁促.

25971:士兵\们\在\密集\的\炮火\掩护\下\向后\撤退\.\
#The soldiers went back under heavy artillery fire.
荤捍甸篮 剐笼等 器拳 决龋 窍俊辑 第肺 拱矾车促.

25972:世界\博览会\吸引\许多\外埠\民众\到\纽约\来\.\
#The World's Fair brought many out-of-towners to New York.
技拌 冠恩雀绰 腹篮 寇胞 刮吝甸捞 春垮栏肺 坷霸阐 缠绢寸板促.

